service pair,DAP
9b7d667746c34e4797a35694a7038680 <-> 5da5fb2eff134213938fa7950dcf4198,0.0
dd89006c3173497a950fabe3d9309088 <-> e7ef84ab5a4647bc8e693e6cdff0a038,0.0
c5bdafe65c174609905858c3efab2dfd <-> 39cf6257f30d435cb7fa1a2c64e8b66a,0.0
3a4fdde24a12499ca3165f9f1d5ac2d2 <-> 70a9c940a4b44d2b8a96668c1ee50914,0.0
9b7d667746c34e4797a35694a7038680 <-> cafdc197849145048e7cabbd0a6dcc3e,0.0
55594061a8f7430fb07fc281cfccc75e <-> fd07f263e5d14dd4a40709425be19de5,0.0
c1bbabbc18104d6bb4bed576d64632a4 <-> e7ef84ab5a4647bc8e693e6cdff0a038,0.0
587e47178cc148c485b623bcc914c27c <-> 70a9c940a4b44d2b8a96668c1ee50914,0.0
2d29f7dcfa974504aeb2cbc11c80157e <-> b620c54a6cbe4539b92b5995a0ec624f,0.0
9b7d667746c34e4797a35694a7038680 <-> 5c82ba99fc21483694050844a8649f50,0.0
70a9c940a4b44d2b8a96668c1ee50914 <-> 39cf6257f30d435cb7fa1a2c64e8b66a,0.0
900a78c7b7834f9480c83d002512124b <-> 64b27ba7e5bc46d49fcea59c29e77376,0.0
b86c4cbd26a647f59f2da5dab49adf1a <-> 9b7d667746c34e4797a35694a7038680,0.0
80ebb632064049589012032255cf89f8 <-> 3dfd0c327b5d415b8061f0f9e04e01b7,0.0
017197edb68247119abddfebae83d208 <-> 341818b796cc4479a5961da4936fead7,0.0
65a5ebf524084d6cb2d0dba1afb576f0 <-> 4299df97cf5b4589bf93dfa0852392dd,0.0
9b7d667746c34e4797a35694a7038680 <-> 299afc2a832b4af9bd7266fb98d881d9,0.0
edacaf9589524b5c9b9b4b35f3c58db6 <-> fd07f263e5d14dd4a40709425be19de5,0.0
aacc7bc61d434d57830de4ec1f2128b7 <-> b620c54a6cbe4539b92b5995a0ec624f,0.0
cbcf1e59da734208ab5854c5e17603a6 <-> 70a9c940a4b44d2b8a96668c1ee50914,0.0
97e45bd8772247c498b430d83822982a <-> 83536a01113c414bb7972e270521519a,0.0
2d98837c77b544df8a6b41e4ce7f75b2 <-> b620c54a6cbe4539b92b5995a0ec624f,0.0
2d29f7dcfa974504aeb2cbc11c80157e <-> 4eac45a983984834b0218d4e344d87cf,0.0
2d29f7dcfa974504aeb2cbc11c80157e <-> 5da5fb2eff134213938fa7950dcf4198,0.0
dd89006c3173497a950fabe3d9309088 <-> fe7084d7e1bb4b3f9d2262dc49c4d21d,0.0
8b817a2624c64b45abfb37c8ef5f1ca3 <-> fd07f263e5d14dd4a40709425be19de5,0.0
00b30849693646d79a9c5622bfcacace <-> 4ecafd370ce14905997184589c083233,0.0
4299df97cf5b4589bf93dfa0852392dd <-> 3094827e1d0e426aad889254934410b4,0.0
00b30849693646d79a9c5622bfcacace <-> afa1f473fb924cfb8f53cb532170b583,0.0
29a08ff4530a4e3394028db1078830c1 <-> 4e7f002b5d5f4561a1d31de4833e5b55,0.0
ce539b5c4243488882f2d588b5c52287 <-> 77b6afcc46724a46b3ffc0d06405274b,0.0
2d6e7524c05f43f19ca1065d560504a1 <-> a2ca167edf5a477ab5b06657debb9c87,0.0
ca0f854c5b65474d9cdfa3c5304272a1 <-> ded93a46951a4850856f972c8608ef58,0.0
dd89006c3173497a950fabe3d9309088 <-> a178217037784a6ab25c83e57e50ca88,0.0
2d6e7524c05f43f19ca1065d560504a1 <-> ded93a46951a4850856f972c8608ef58,0.0
c37ba597a21f473d9be587a1ac989c95 <-> b357e32d58554666acdac1f52d5bf0ef,0.0
dd89006c3173497a950fabe3d9309088 <-> 64b27ba7e5bc46d49fcea59c29e77376,0.0
b357e32d58554666acdac1f52d5bf0ef <-> 3719af9129114325bc6eb4eb8483962f,0.0
65a4f18b98154ab7b37d32045f3c04e7 <-> fd07f263e5d14dd4a40709425be19de5,0.0
2d29f7dcfa974504aeb2cbc11c80157e <-> 475a25fd5bcc469fa51e3b4ff41598cf,0.0
2d6e7524c05f43f19ca1065d560504a1 <-> 4e7f002b5d5f4561a1d31de4833e5b55,0.0
b357e32d58554666acdac1f52d5bf0ef <-> dd576837d04147948d9adfa498a96997,0.0
9b7d667746c34e4797a35694a7038680 <-> 3c7568147621435481c85f6f31dcfdaa,0.0
b2ebd63eb4684f5489fb2bcf07f37960 <-> a1052bdec5da409881412df86c8b6ae2,0.0
83536a01113c414bb7972e270521519a <-> fa9ba5f5f56546ecb041c18156023e08,0.0
f05fca826ccd4358a9c31cfe80fb6348 <-> 67de8301350246c8a6ea999616f4de22,0.0
2d6e7524c05f43f19ca1065d560504a1 <-> b2ebd63eb4684f5489fb2bcf07f37960,0.0
f458d6c1cf47407f957f150bdbf0dd40 <-> 7e8ba38561f248e5b56fb1d34c3589e3,0.0
e95b8c1438c34798a4ec444e97526748 <-> fd07f263e5d14dd4a40709425be19de5,0.0
b2ebd63eb4684f5489fb2bcf07f37960 <-> c5adabd195ee401ab2e69766dce47633,0.0
29a08ff4530a4e3394028db1078830c1 <-> c37ba597a21f473d9be587a1ac989c95,0.0
b620c54a6cbe4539b92b5995a0ec624f <-> 505b8f7263f54e789654806514dbbd6a,0.0
29a08ff4530a4e3394028db1078830c1 <-> 77b6afcc46724a46b3ffc0d06405274b,0.0
b620c54a6cbe4539b92b5995a0ec624f <-> 2cbd63aa5dfd4ef2b5eb3938fc288584,0.0
65a5ebf524084d6cb2d0dba1afb576f0 <-> 4af2df2d3b344fbc87b7ab714f734cff,0.0
80ebb632064049589012032255cf89f8 <-> aa983374928c49bf86381595d2fe005c,0.0
b620c54a6cbe4539b92b5995a0ec624f <-> 64b27ba7e5bc46d49fcea59c29e77376,0.0
2d29f7dcfa974504aeb2cbc11c80157e <-> 4b27a705e1f14573a81e063657bb4b8f,0.0
46761f9c081d440a9469b6c42ce92d6b <-> 39cf6257f30d435cb7fa1a2c64e8b66a,0.0
59b523a2e8ab46fbbee65ae67aa3daab <-> 70a9c940a4b44d2b8a96668c1ee50914,0.0
a264bf617ee44dd497fe4d7a9de63a14 <-> fd07f263e5d14dd4a40709425be19de5,0.0
f44f824bafba4961a53f8383323f910c <-> edacaf9589524b5c9b9b4b35f3c58db6,0.0
f05fca826ccd4358a9c31cfe80fb6348 <-> ded93a46951a4850856f972c8608ef58,0.0
80ebb632064049589012032255cf89f8 <-> 83536a01113c414bb7972e270521519a,0.0
84904c05600143b083c52d89872b1f37 <-> bd3e2a3a27ff401383c65083c3b948d1,0.0
9b7d667746c34e4797a35694a7038680 <-> 4b27a705e1f14573a81e063657bb4b8f,0.0
46761f9c081d440a9469b6c42ce92d6b <-> ca0f854c5b65474d9cdfa3c5304272a1,0.0
00b30849693646d79a9c5622bfcacace <-> bd3e2a3a27ff401383c65083c3b948d1,0.0
46761f9c081d440a9469b6c42ce92d6b <-> 2f392262967a4988bfbe431075f329f9,0.0
80ebb632064049589012032255cf89f8 <-> 00b30849693646d79a9c5622bfcacace,0.0
3c7568147621435481c85f6f31dcfdaa <-> fd07f263e5d14dd4a40709425be19de5,0.0
00b30849693646d79a9c5622bfcacace <-> 65a4f18b98154ab7b37d32045f3c04e7,0.0
ce539b5c4243488882f2d588b5c52287 <-> 00b30849693646d79a9c5622bfcacace,0.0
