service pair,PIP
32ac0c0ac66c4e699a26c7b4aee1f548 <-> a1052bdec5da409881412df86c8b6ae2,0.0
2b842b4d8b2b4436976016193e247cd0 <-> 4299df97cf5b4589bf93dfa0852392dd,0.0
50ccb00d91174d3bbce09588faae76b1 <-> 4ddf82eb6e5d48dfaf1df405c3b37a81,0.0
017197edb68247119abddfebae83d208 <-> 03b23c40aa9c427b9452087f62bb407f,0.0
9091db15481d45109ecd42f0f4220dbd <-> 856fa0ab2e38414999df460031f379b2,0.0
c1bbabbc18104d6bb4bed576d64632a4 <-> 3094827e1d0e426aad889254934410b4,0.0
05f5c709190c44d2b4ccc55a5dbbc87f <-> 02219cb05db64427a8fb59e3ef608844,0.0
341818b796cc4479a5961da4936fead7 <-> 65a4f18b98154ab7b37d32045f3c04e7,0.0
40ec0aad2cd841bdb6d50ff8f30181f7 <-> ded93a46951a4850856f972c8608ef58,0.0
8f9ea551a5ad4235849450e7ca2e2fae <-> 3839a864de0b4828912bc15beef4e9d5,0.0
0da553a1e46441fabd4c4a98d06924b2 <-> 856fa0ab2e38414999df460031f379b2,0.0
09414dac5e1f406aba7afa3a9cda3df6 <-> b620c54a6cbe4539b92b5995a0ec624f,0.0
2d6cf82a298246668008a6954d44ce21 <-> 65a5ebf524084d6cb2d0dba1afb576f0,0.0
65a5ebf524084d6cb2d0dba1afb576f0 <-> a1052bdec5da409881412df86c8b6ae2,0.0
cafdc197849145048e7cabbd0a6dcc3e <-> 64b27ba7e5bc46d49fcea59c29e77376,0.0
43b9188c92724c1c9b9a7e75d8f9d2ed <-> a9e54467c7f840bc89c9592f9f115170,0.0
c1e55109fee14b3ea7630941c51c5523 <-> fa9ba5f5f56546ecb041c18156023e08,0.0
2d29f7dcfa974504aeb2cbc11c80157e <-> 34ca1b43fd744e56921906f5f789f3b8,0.0
84904c05600143b083c52d89872b1f37 <-> 8ba7bde9a6e54fa691ec69a34fb98f2c,0.0
62c789191edb4db388cc4725f178f52a <-> 4af2df2d3b344fbc87b7ab714f734cff,0.0
2b842b4d8b2b4436976016193e247cd0 <-> 4eac45a983984834b0218d4e344d87cf,0.0
756dd38d5d1440ffb865ad60a4c151a7 <-> a1052bdec5da409881412df86c8b6ae2,0.0
c37ba597a21f473d9be587a1ac989c95 <-> 8eb77985f2254345ba3c37019b2f4636,0.0
ce539b5c4243488882f2d588b5c52287 <-> cbcf1e59da734208ab5854c5e17603a6,0.0
2d29f7dcfa974504aeb2cbc11c80157e <-> 505b8f7263f54e789654806514dbbd6a,0.0
d42d11960a0742b3a19c0de6c11012c0 <-> 34ca1b43fd744e56921906f5f789f3b8,0.0
8b817a2624c64b45abfb37c8ef5f1ca3 <-> d3e99c7b9817486b967d67a28ede8014,0.0
91e3a28018934540b4d441e3a2fe831a <-> afa1f473fb924cfb8f53cb532170b583,0.0
a9e54467c7f840bc89c9592f9f115170 <-> 8ba7bde9a6e54fa691ec69a34fb98f2c,0.0
40040bab7f954ba89838ce341ccc7a9d <-> 0358d1ebf1e0471f93e137ca5922b852,0.0
7243118f0db644aa8ad97619ad2d6171 <-> 62c789191edb4db388cc4725f178f52a,0.0
0fbc6670c5794dbd8f9e43664f1a0fdc <-> a8a0d44bf1fb43bcb3718e9f0db27ca2,0.0
8eb77985f2254345ba3c37019b2f4636 <-> 3094827e1d0e426aad889254934410b4,0.0
db0d1cb7b0dc479abaf7dca87c67c7dd <-> 3718933dbca24e068f545e952918844d,0.0
8f9ea551a5ad4235849450e7ca2e2fae <-> 89595af3ea9c4c989a108ab7cbee68a3,0.0
3718933dbca24e068f545e952918844d <-> 4299df97cf5b4589bf93dfa0852392dd,0.0
3a4fdde24a12499ca3165f9f1d5ac2d2 <-> 91e3a28018934540b4d441e3a2fe831a,0.0
017197edb68247119abddfebae83d208 <-> 505b8f7263f54e789654806514dbbd6a,0.0
b2ebd63eb4684f5489fb2bcf07f37960 <-> d404478368d842a4a9a249cfce11815c,0.0
8eb77985f2254345ba3c37019b2f4636 <-> 856fa0ab2e38414999df460031f379b2,0.0
7243118f0db644aa8ad97619ad2d6171 <-> 7e318f75af784603b43d0a988c4c1b13,0.0
3718933dbca24e068f545e952918844d <-> 39cf6257f30d435cb7fa1a2c64e8b66a,0.0
4ecafd370ce14905997184589c083233 <-> 4299df97cf5b4589bf93dfa0852392dd,0.0
8ba7bde9a6e54fa691ec69a34fb98f2c <-> 3094827e1d0e426aad889254934410b4,0.0
3718933dbca24e068f545e952918844d <-> 3094827e1d0e426aad889254934410b4,0.0
00b30849693646d79a9c5622bfcacace <-> ecc9e7209b0f4a85b1c765da891cde91,0.0
