service pair,SIP
a2442895e4f84397adc2795c6a6f22c4 <-> f0511b7a81c9421ba0457346a6df728a,0.0
37ad67cdbcf441b2992bd23d1d2961c9 <-> 34ca1b43fd744e56921906f5f789f3b8,0.0
3b9f7ce6c04f4a91abece7e142d11768 <-> 345e4f12a6494ef08628a1464bcf8fa0,0.0
7e8ba38561f248e5b56fb1d34c3589e3 <-> 64b27ba7e5bc46d49fcea59c29e77376,0.0
0046d8a263ac456b979fbe59044acce8 <-> 8eb77985f2254345ba3c37019b2f4636,0.0
eed23673b84d4f988d59d2fb7ae7ff55 <-> 4fd933f1bf4142c2bd9850fcf3293b09,0.0
23f16a3189294b958b902a08d8c46f6e <-> f30f6b8cf4d24be4bc86c86ee25f0462,0.0
c5adabd195ee401ab2e69766dce47633 <-> bf544761cc0c43a5b5bb9de291b72651,0.0
0380f02bcc1d416788e09e92d3282855 <-> 39b6f1633cf34dd99669f13a5aee1d7c,0.0
6c7725c67ac3465d885c5d96fcd5bb2e <-> 23ebdbce9a924a41919cddc413d796fb,0.0
ce539b5c4243488882f2d588b5c52287 <-> 0fb6131d6287478b8d032efe71223592,0.0
c5bdafe65c174609905858c3efab2dfd <-> 15b50df9cd7d43799bb26d8c42263862,0.0
5c82ba99fc21483694050844a8649f50 <-> a264bf617ee44dd497fe4d7a9de63a14,0.0
920c0825a4cb4eaa9c94891e89c843b1 <-> 46d93b84c83d4d32a22913698ca88b95,0.0
aa93520d6de543698eb87cce83d277ed <-> 920c0825a4cb4eaa9c94891e89c843b1,0.0
d70d53f4b273433ab66ca0c7f8ef8ad9 <-> ba514596c8bb498ebbdb24e4bfcc66f2,0.0
0358d1ebf1e0471f93e137ca5922b852 <-> 97e45bd8772247c498b430d83822982a,0.0
299afc2a832b4af9bd7266fb98d881d9 <-> 39cf6257f30d435cb7fa1a2c64e8b66a,0.0
cd1146e2bac44e3491b9a6ec7d56e9e9 <-> e24afe934f2b471daa9a061f4cafa21b,0.0
47c61dc106fe4537b37851383630273f <-> 4299df97cf5b4589bf93dfa0852392dd,0.0
4acce79b8935432881bd32294be9a899 <-> e7ef84ab5a4647bc8e693e6cdff0a038,0.0
0ea50e90c2fd45a3847eb45c373e95e0 <-> 8ba7bde9a6e54fa691ec69a34fb98f2c,0.0
8eb77985f2254345ba3c37019b2f4636 <-> bd3e2a3a27ff401383c65083c3b948d1,0.0
6241632ee5b341a4b4eb793e902c115b <-> ba514596c8bb498ebbdb24e4bfcc66f2,0.0
3b9f7ce6c04f4a91abece7e142d11768 <-> 62c789191edb4db388cc4725f178f52a,0.0
c81ab4013b7746c3999d1e2d8929b404 <-> 5c82ba99fc21483694050844a8649f50,0.0
c12f600769e447cc9aeac1c410735090 <-> afa1f473fb924cfb8f53cb532170b583,0.0
6241632ee5b341a4b4eb793e902c115b <-> 856fa0ab2e38414999df460031f379b2,0.0
dfb5af40b44047ed83aff7470df3ea34 <-> c082c2c5106e4a4da73e56b37320347e,0.0
0380f02bcc1d416788e09e92d3282855 <-> dd576837d04147948d9adfa498a96997,0.0
3a4fdde24a12499ca3165f9f1d5ac2d2 <-> cffb5ba6ad274d42845684319b024de6,0.0
80ebb632064049589012032255cf89f8 <-> 299afc2a832b4af9bd7266fb98d881d9,0.0
0821c105d24a48ebaef19ded2cc1b71c <-> 0fb6131d6287478b8d032efe71223592,0.0
dd89006c3173497a950fabe3d9309088 <-> afa1f473fb924cfb8f53cb532170b583,0.0
1bb1c46777c54946a21715006ebd7212 <-> 3b4424c38fea470389fda1eb4a99d5ed,0.0
1706f2245980477b892177cef1ab28ca <-> 4fd933f1bf4142c2bd9850fcf3293b09,0.0
13661f48d222487f814dc3cd15a0ecb3 <-> c37ba597a21f473d9be587a1ac989c95,0.0
0fbc6670c5794dbd8f9e43664f1a0fdc <-> 8eb77985f2254345ba3c37019b2f4636,0.0
9c823e033faf49dea4b849b3a1f8f0d3 <-> f0511b7a81c9421ba0457346a6df728a,0.0
299afc2a832b4af9bd7266fb98d881d9 <-> e86d8daaaf7842d4a7b6a0a26cef0432,0.0
91e3a28018934540b4d441e3a2fe831a <-> 5da5fb2eff134213938fa7950dcf4198,0.0
e7ef84ab5a4647bc8e693e6cdff0a038 <-> 4fd933f1bf4142c2bd9850fcf3293b09,0.0
8ba7bde9a6e54fa691ec69a34fb98f2c <-> bb64d8b5b311452d9d9051694d7f4bb2,0.0
0046d8a263ac456b979fbe59044acce8 <-> 994cdf8286a34d04b4c5180b86629952,0.0
1446cfd6eef04ddbb5740d3ad0d12dae <-> 65a5ebf524084d6cb2d0dba1afb576f0,0.0
0cd73ffcf30c456fa2529fa739e9284e <-> 3237b5c9c7704822b750d83fad070f79,0.0
2f392262967a4988bfbe431075f329f9 <-> 59b523a2e8ab46fbbee65ae67aa3daab,0.0
263b10746f204d81b5ad6515f43a6148 <-> eed23673b84d4f988d59d2fb7ae7ff55,0.0
6cf47e4b79d54d64ba8f69a99d8ba075 <-> 3ee9bbfcf3e3421c91665f23c908ec24,0.0
e86d8daaaf7842d4a7b6a0a26cef0432 <-> 32ac0c0ac66c4e699a26c7b4aee1f548,0.0
74671e89be724f348c7eee376e172441 <-> aa983374928c49bf86381595d2fe005c,0.0
0fbc6670c5794dbd8f9e43664f1a0fdc <-> fa9ba5f5f56546ecb041c18156023e08,0.0
23ebdbce9a924a41919cddc413d796fb <-> a4dbbed34b4948deb9996ad724c4a640,0.0
d404478368d842a4a9a249cfce11815c <-> 620c06189bec46769370afa83e10df2d,0.0
6c7725c67ac3465d885c5d96fcd5bb2e <-> 6241632ee5b341a4b4eb793e902c115b,0.0
e7ef84ab5a4647bc8e693e6cdff0a038 <-> 620c06189bec46769370afa83e10df2d,0.0
cce0b9f5adba48a2b1684f38d2334fa6 <-> 228cbf320bf74d88a1839080a9a80e79,0.0
7e8ba38561f248e5b56fb1d34c3589e3 <-> 34ca1b43fd744e56921906f5f789f3b8,0.0
4ddf82eb6e5d48dfaf1df405c3b37a81 <-> 2cbd63aa5dfd4ef2b5eb3938fc288584,0.0
eed23673b84d4f988d59d2fb7ae7ff55 <-> bd3e2a3a27ff401383c65083c3b948d1,0.0
9b7d667746c34e4797a35694a7038680 <-> 65a5ebf524084d6cb2d0dba1afb576f0,0.0
1cab97c04ef34b4c86f88579a2e5ddb0 <-> 1446cfd6eef04ddbb5740d3ad0d12dae,0.0
c12f600769e447cc9aeac1c410735090 <-> ca0f854c5b65474d9cdfa3c5304272a1,0.0
c1bbabbc18104d6bb4bed576d64632a4 <-> 1706f2245980477b892177cef1ab28ca,0.0
f458d6c1cf47407f957f150bdbf0dd40 <-> fe65c06fabab47be9d053afcd7fcd3a9,0.0
5b524c4b43434e2aae91467d466d828c <-> cb75773e45544e55a62f01c6cea7d36b,0.0
8c9a59878859482c994550df914e44db <-> 3a4fdde24a12499ca3165f9f1d5ac2d2,0.0
3e2ef6810e5a44d3bb41977363137dfa <-> 9c823e033faf49dea4b849b3a1f8f0d3,0.0
a264bf617ee44dd497fe4d7a9de63a14 <-> f7f899ec759045ddaa5c8ba5c4a798a1,0.0
3237b5c9c7704822b750d83fad070f79 <-> 83275199d89e4ab28e185a2704d0e137,0.0
cce0b9f5adba48a2b1684f38d2334fa6 <-> 6241632ee5b341a4b4eb793e902c115b,0.0
03b23c40aa9c427b9452087f62bb407f <-> cffb5ba6ad274d42845684319b024de6,0.0
228cbf320bf74d88a1839080a9a80e79 <-> db0d1cb7b0dc479abaf7dca87c67c7dd,0.0
fd07f263e5d14dd4a40709425be19de5 <-> ad8b1edfaf784de9a02ea6d7b9a492ab,0.0
1706f2245980477b892177cef1ab28ca <-> 856fa0ab2e38414999df460031f379b2,0.0
78aa91bb679544e7bb72c99641939f30 <-> a4dbbed34b4948deb9996ad724c4a640,0.0
a264bf617ee44dd497fe4d7a9de63a14 <-> 15b50df9cd7d43799bb26d8c42263862,0.0
0821c105d24a48ebaef19ded2cc1b71c <-> dfb5af40b44047ed83aff7470df3ea34,0.0
4e7f002b5d5f4561a1d31de4833e5b55 <-> dd458d084efe409b91dd8c39ec4254f2,0.0
43b9188c92724c1c9b9a7e75d8f9d2ed <-> 505b8f7263f54e789654806514dbbd6a,0.0
d42d11960a0742b3a19c0de6c11012c0 <-> 5c82ba99fc21483694050844a8649f50,0.0
9c823e033faf49dea4b849b3a1f8f0d3 <-> a1052bdec5da409881412df86c8b6ae2,0.0
bd3e2a3a27ff401383c65083c3b948d1 <-> 70a9c940a4b44d2b8a96668c1ee50914,0.0
cb75773e45544e55a62f01c6cea7d36b <-> 8bd124e70bc547c8a75f89ba0272ee22,0.0
f458d6c1cf47407f957f150bdbf0dd40 <-> 00b30849693646d79a9c5622bfcacace,0.0
bc021882a9c641ebb8d834c319b48a9b <-> f5bb7db875164788b03321fcf6936395,0.0
1f11948ffdf74602a7c23153867a2f05 <-> 0046d8a263ac456b979fbe59044acce8,0.0
8f9ea551a5ad4235849450e7ca2e2fae <-> bc021882a9c641ebb8d834c319b48a9b,0.0
95b82d7d37b1438aabc02a0f51e0955c <-> 9d03372d3c094dbea5da413ebe1c3521,0.0
eed23673b84d4f988d59d2fb7ae7ff55 <-> 3094827e1d0e426aad889254934410b4,0.0
587e47178cc148c485b623bcc914c27c <-> 7e8ba38561f248e5b56fb1d34c3589e3,0.0
4a25eb71535f4bdf8fecef61b37f8efd <-> 83275199d89e4ab28e185a2704d0e137,0.0
8ba7bde9a6e54fa691ec69a34fb98f2c <-> ef2ad0938519493b87cae8e4eb66d508,0.0
e24afe934f2b471daa9a061f4cafa21b <-> 02219cb05db64427a8fb59e3ef608844,0.0
6c9d6ae665fb467ea970833c5c075714 <-> eed23673b84d4f988d59d2fb7ae7ff55,0.0
c37ba597a21f473d9be587a1ac989c95 <-> 97e45bd8772247c498b430d83822982a,0.0
620c06189bec46769370afa83e10df2d <-> a2ca167edf5a477ab5b06657debb9c87,0.0
0821c105d24a48ebaef19ded2cc1b71c <-> e6306f6520b0487687a539208acf9e38,0.0
b86c4cbd26a647f59f2da5dab49adf1a <-> 7e318f75af784603b43d0a988c4c1b13,0.0
d3e99c7b9817486b967d67a28ede8014 <-> ecc9e7209b0f4a85b1c765da891cde91,0.0
299afc2a832b4af9bd7266fb98d881d9 <-> c5bdafe65c174609905858c3efab2dfd,0.0
fa2cbe6b2c574161b925ffc6bdd7742c <-> 4b27a705e1f14573a81e063657bb4b8f,0.0
4d689766c53d44c4b49713c40ca0288f <-> f6ac23067cdd4793b79bc9f1001d0a54,0.0
1446cfd6eef04ddbb5740d3ad0d12dae <-> 37ad67cdbcf441b2992bd23d1d2961c9,0.0
