service pair,PIP
eafcc17601e44858877257a3d56ce38c <-> 89d3aa574ff041e5a09922c2fe06ca21,0.0
89459fc63de549b08918f664273e8b93 <-> 623dc1ca0abc4eb1bb72208fbaf8d504,0.0
60c1e4e3b09e4aa8b73e34b37ef50f98 <-> 4e3a3ead77d94ffc8e1a5a2ca3c9d7c0,0.0
7617cddb56b5467da69609cd13ff150b <-> 2b40dfd727f34cdbb93a041a571aa63f,0.0
d9890e9f2682486ca1e326870d88372d <-> 9319923da7b348338bfb2129520ed685,0.0
f3b5877b0e134d0a91e1eaac10376204 <-> 0df7ee329bbf401eb00d59a5e8e25b73,0.0
aba40e69ad044570a06bb9163b43c380 <-> 890fb25c03b44e81adbdae1d635437fb,0.0
294bea47eaf94d8d9a89b32ff13509d4 <-> 3a6b3811bf764f8d91d46841f11d9ed0,0.0
0ce0732386d1419e9943d5c5e78c8083 <-> 89d3aa574ff041e5a09922c2fe06ca21,0.0
191d6141800b4e419ba063d4314b57aa <-> 490493056a47407b9cb8906ae825bb0f,0.0
b80c009d29a449808960613d4dc788f1 <-> 623dc1ca0abc4eb1bb72208fbaf8d504,0.0
335ce475732f410d8b05fc7b73dc6f12 <-> 67ee6cf8da674b6585aeadea34061fed,0.0
4ecaa31dce4f4a89a0acafcebb16861f <-> 1a1a9baab8684d9d9675eca026b00a5f,0.0
821013efd38a41f0b12a70123c716759 <-> 7048420b6f974ac78b332f83caf8e016,0.0
375b5314337746379a84183a6d756b6a <-> ee9309246bd34b6993eead41053e773b,0.0
a442e044a2724160bb4dc4ee6295bf73 <-> dc854ee703874e40b701e53b2cff1649,0.0
4694e999538a4c7cae4926c99e784532 <-> 9f266c28942c430f873f728b5983d1cf,0.0
2e4c26802fd94942a4d64e84e95c0d23 <-> 2b40dfd727f34cdbb93a041a571aa63f,0.0
0ce0732386d1419e9943d5c5e78c8083 <-> e6288a8445f84cfebe4d54d98400b77f,0.0
8fe5d44140ec43b4a8ba78d0eb27cb68 <-> 335ce475732f410d8b05fc7b73dc6f12,0.0
89459fc63de549b08918f664273e8b93 <-> a758ed517416403585223b37bfde95e2,0.0
5b3236323b0244a4aec7c26191504fb2 <-> 2572ec45fd334386953b85406bcc285f,0.0
01901e80094340f4991c502ad8fb04db <-> 1d2f8f96f5444b79a1276ca140556a61,0.0
