service pair,DAP
4f65bd156b324051b9d01ae5927c36c0 <-> c3471ef78a524c9a9d0c85ad644117db,0.0
988772086988452091b5b3171fdff7b1 <-> 367b17dcf7bd49b7ae039c7cb41f2b70,0.0
ed43b11c64eb4333a0b237da7b90c97d <-> 81e8238a694344549f929b7610ce654a,0.0
650fff19f8fb4d98b282e51b88568beb <-> 7bf53713db524184afa8ab585f8242b5,0.0
294bea47eaf94d8d9a89b32ff13509d4 <-> 3e5f3fbe11204bc8a86d65176312cda2,0.0
0bf37978d4f949629da167a7b6ae7fff <-> 4e3a3ead77d94ffc8e1a5a2ca3c9d7c0,0.0
ed43b11c64eb4333a0b237da7b90c97d <-> 02958eaea68a4cb084f51a9dd1282ebc,0.0
60f951ed35d3471185b35df692da17ea <-> ecf679e5c6c1459cbca05997812f314e,0.0
cedc33441ec0432691cb2112f159391e <-> 1589d5ad86164cbe873495f45c67e66b,0.0
b150388f9093463a97d4fd62dfe8d2d1 <-> 7bf53713db524184afa8ab585f8242b5,0.0
3fc8956820d3418c975f2992952db803 <-> 2e03e4b59f324286af529250ab75a9bf,0.0
89173fb7f1d044638a613accd3d0dc87 <-> 9152cf9f4b0045aaa8dd5aad5f1267d9,0.0
ed43b11c64eb4333a0b237da7b90c97d <-> c899e54985934a57a3d3286df5bce7ed,0.0
c7d287130eda45c298231fb65ece88a1 <-> 87d9195b5700481bb020cc5a15a6665a,0.0
988772086988452091b5b3171fdff7b1 <-> 1b203c54747e479e9e91465f82a8943c,0.0
59134d8247024b8ab35c22b840afb361 <-> 4e3a3ead77d94ffc8e1a5a2ca3c9d7c0,0.0
f296ec6acfed45fb82b0d0578480605e <-> 4e3a3ead77d94ffc8e1a5a2ca3c9d7c0,0.0
cedc33441ec0432691cb2112f159391e <-> d61da1870d664000b9b4dfa3d81e02bd,0.0
ed43b11c64eb4333a0b237da7b90c97d <-> 574ab0da3f3d4071bbd707b902e02f45,0.0
8ef9d4198bd34ab69af664feca3174f9 <-> 4f65bd156b324051b9d01ae5927c36c0,0.0
4f65bd156b324051b9d01ae5927c36c0 <-> dd2295be9a28477c98e0d3a1a1fed6c6,0.0
4e3a3ead77d94ffc8e1a5a2ca3c9d7c0 <-> 96548ca2d4ab48da821982727c6fb65f,0.0
a493197ba0bc4953a424dfbfa52c65f3 <-> 2e03e4b59f324286af529250ab75a9bf,0.0
bda95ce4749b4886ae2e07f38df4300c <-> 138257631a544991b47fb2061eddc90c,0.0
3fc8956820d3418c975f2992952db803 <-> 138257631a544991b47fb2061eddc90c,0.0
1589d5ad86164cbe873495f45c67e66b <-> 574ab0da3f3d4071bbd707b902e02f45,0.0
ed43b11c64eb4333a0b237da7b90c97d <-> 60f951ed35d3471185b35df692da17ea,0.0
6889ecc1ff164eb7ab7bacd7d741aa2e <-> 7bf53713db524184afa8ab585f8242b5,0.0
ecf679e5c6c1459cbca05997812f314e <-> 66cc39fe7e934bf2bf24ff6f6c559524,0.0
d1e60bb9d15b4aa89934a28bd341cbfc <-> 2aa73acd14684d5bba50a815518cbf1e,0.0
d83c46df18cb4baf810e55024ce4eb6d <-> d1e60bb9d15b4aa89934a28bd341cbfc,0.0
f1487c21e9d84fe99b2575b2bec8c785 <-> 4e3a3ead77d94ffc8e1a5a2ca3c9d7c0,0.0
d6c7be7a81a64fafb23cc385a6c3c224 <-> d20e2455b0434f95b9855acd760905a5,0.0
d17765c8afba473d8b722ccfaffd96f8 <-> 63c6cc48f8d44b1eb51dbb781127876d,0.0
1589d5ad86164cbe873495f45c67e66b <-> fe6def37a520457cab6ff1a8f5be0627,0.0
7e2f4f65c9b5404b89c624d48d9a30a7 <-> f1487c21e9d84fe99b2575b2bec8c785,0.0
