interface pair,RWR
0276f639fa6a48b496f691b7ca9b8937 <-> 135a1ecd7db5490ea60a74ff1bafb3c9,0
080ba47d822e41358fb3eeb4b0d12f10 <-> accd6ecd716543aab7c9c60cb9033b99,0
c814ab65f97f4294a16bdc961f1061bb <-> c787b980b5a14114a5491f077828e324,0
6e1ef0a67e354326aa4bc92262e97fd8 <-> 7d9e56b153d94fd9a2df62239f0230fa,0
7ad38d344fe943e1ad4e050f7ebe6aba <-> e8f6ff5060ed4556970c7b574e81bb3e,0
58c1c47111304c57a135acb0288ef544 <-> 3a33ee0e01f74f5abb9d478990835767,0
58c1c47111304c57a135acb0288ef544 <-> 682ced4d60cb4dd299bc955fb99d102d,0
7d9e56b153d94fd9a2df62239f0230fa <-> e3915aede2f9414f8be63be3b295222d,0
f6f96cdda0924b3fa60a89f95312b104 <-> 696aedaa6dfa47fda2516d7f5e3c1981,0
cdd768d0444e4ce79b92410190848f7c <-> f82b459e584a4584aa330fa5bd4902db,0
cb7c10444c01459fbc4691ecb6266e24 <-> 006ac0d4793b476b8c1ce3f8b72d554c,0
f0c0423073714318822bf39aec81debd <-> 873485e45bcd4f72a4d73c230c863fdf,0
0b0fb74041ec47fca1873df035bf3274 <-> 762f45cd8def4e79af01e0f61bec14c9,0
5f3db34ef1af4254a265b0979f1dec92 <-> f98ab5fa13f44bef847027a1107eb67f,0
cb7c10444c01459fbc4691ecb6266e24 <-> f34531e68b864bcf9d72205e6891ac27,0
17ff466520eb4507bc597f07c2cae8ca <-> d19e9f3e4b954127a5c0947f8c5f73ef,0
4965b29df8814af8ae6c7e27ecdb7c86 <-> 7ad38d344fe943e1ad4e050f7ebe6aba,0
960aa047baef4300ae96c7d061eb83cc <-> 6cdf6e5157a84f53af913790d8aaf285,0
f6e0ab6d3bc24e0cacdbb2d8d5e0cbdc <-> 13ae4c48bc1448eea3f2938002fade32,0
e23fa6fab4204309a9e719e5a78895c5 <-> e0f8cc322ca049c2a989695c8c90f0e2,0
20675e8bacc04a1a83df03ab0e303aae <-> 947f9f4a58d942a883aa978b03d9ff88,0
5927eeaf8e9c4083ad79a36416e970bc <-> 3ebc28f400654498b0f606c93f432ace,0
a7c4a0b2567c458b8c2dff2aa8a71019 <-> 2c2010a302644080a5bd25b9af12bd5c,0
4f86cd7d2a304b559a26f2c6d311eb8d <-> c17570f62f29406f91e86cc16f6aa7e5,0
714f412fba1f499da52ba9d651224f9f <-> 7ad38d344fe943e1ad4e050f7ebe6aba,0
63173b798f954d7a8f1c8d94d392bf7a <-> 164e6513a5cf4ca59006d098d81b3a6e,0
dbf22b3293a743fe93689ab3413ced25 <-> cb0475aa04104f459e2c71530132cb1d,0
cb3b315d677346f2b5c9f541d6bca2fb <-> ec62a9ae58d343e0be63ed34aedc6909,0
7ad38d344fe943e1ad4e050f7ebe6aba <-> 8f72c1272dbb495f9552b7c329242b3a,0
2099c9142a74409c8fd6fb1178a17350 <-> 18b5d78a794e4307bc34df886087557c,0
f6e0ab6d3bc24e0cacdbb2d8d5e0cbdc <-> 8a66258a6568410197ea798cdf16b71b,0
b33d224fd77a491aaca857aa5f8bb835 <-> a1417e55b78e4220b517aac040367944,0
4965b29df8814af8ae6c7e27ecdb7c86 <-> c814ab65f97f4294a16bdc961f1061bb,0
90d4c324e1dd4008b08579f43dbfa28c <-> e3915aede2f9414f8be63be3b295222d,0
f9408b3b339244e7ab3c4060a1f98509 <-> dbe90e504a1a448d9a5c6b03887979e6,0
19921ad8c3bb4bd685201a1ac9edd024 <-> adcc97a50ccf4c7a8b0330ab2abf95ee,0
a7c4a0b2567c458b8c2dff2aa8a71019 <-> dbf22b3293a743fe93689ab3413ced25,0
cfb134a0e2cc465c98b5b3807a579107 <-> 973c0dcae701415285685f3abc269bbf,0
cb3b315d677346f2b5c9f541d6bca2fb <-> 8f72c1272dbb495f9552b7c329242b3a,0
440d455576a246eb84e949f9be101d5f <-> 19921ad8c3bb4bd685201a1ac9edd024,0
a7c4a0b2567c458b8c2dff2aa8a71019 <-> 973c0dcae701415285685f3abc269bbf,0
cafc80c71da140d5977d58bb24cd911a <-> 480c5c6aed39431f94b02a832cb304fb,0
cdd768d0444e4ce79b92410190848f7c <-> 682ced4d60cb4dd299bc955fb99d102d,0
ee5ffa6c403646038a4e78a6d33d1c3e <-> 02702246bbda421daf8ce6c8b995d314,0
f6e0ab6d3bc24e0cacdbb2d8d5e0cbdc <-> a1417e55b78e4220b517aac040367944,0
c1143bad561d401089dd4508f98be6c2 <-> ffcab31ce7654b1a80f9ab32e90ed163,0
7ad38d344fe943e1ad4e050f7ebe6aba <-> 7ebdd4efdeff41a9a127f0db32f596c5,0
8ecaad709c764dfdba75feb3f7cbcd97 <-> 7d9e56b153d94fd9a2df62239f0230fa,0
397612e212454ff79e87cc57505c0c9a <-> 8af101283d164883acd02a4aca3e5794,0
3ebc28f400654498b0f606c93f432ace <-> f34531e68b864bcf9d72205e6891ac27,0
a7c4a0b2567c458b8c2dff2aa8a71019 <-> 81af7423dc9d430c8a54a53bffabe131,0
2c2010a302644080a5bd25b9af12bd5c <-> 0e87e62efd5e47f8b0c366d09cef0231,0
7ad38d344fe943e1ad4e050f7ebe6aba <-> 67616f09e4154630ba5d58d798523f3c,0
7d9e56b153d94fd9a2df62239f0230fa <-> b2d8cfc690eb46e3918bca0556f82266,0
2c2010a302644080a5bd25b9af12bd5c <-> 7c4e7155c641482f8aab21740db1a548,0
c03c25985e0a4b99b8dc6b25ac04f5a0 <-> f56946f999c64be7a771def512024c69,0
81af7423dc9d430c8a54a53bffabe131 <-> 81497c462c694814aa6201a1484ace05,0
c814ab65f97f4294a16bdc961f1061bb <-> b3b484c59e5c42be9ac97515faf01406,0
ef9b1902657a4f1c92ace8526c3e35a8 <-> a1417e55b78e4220b517aac040367944,0
8f72c1272dbb495f9552b7c329242b3a <-> a986d01ec4bc44ee9ab58216849dbee6,0
a7c4a0b2567c458b8c2dff2aa8a71019 <-> 277b17d17a564df89d2f077c136f1406,0
8a66258a6568410197ea798cdf16b71b <-> 135a1ecd7db5490ea60a74ff1bafb3c9,0
4b80d2e5b23f4222a908e1066acca1fb <-> adcc97a50ccf4c7a8b0330ab2abf95ee,0
de135ed6dcf34748b60d2d825c896367 <-> 1003caac5b014b098c2b536dd2b8603c,0
e3915aede2f9414f8be63be3b295222d <-> 135a1ecd7db5490ea60a74ff1bafb3c9,0
0ea223b3cb094ed9988aae75f765fc62 <-> 696aedaa6dfa47fda2516d7f5e3c1981,0
11d75be0c14b4796b43da26ac943f78c <-> c31ff415d0a842a888148f27ecef125b,0
b88159de831044f791a918ee7e54be98 <-> 7f9e04da06894a8e8afd52212821f37a,0
4647a10cd73c493589650b22b5188871 <-> 81af7423dc9d430c8a54a53bffabe131,0
0a0f8511f3b441f7b68c4a92ad44a28d <-> f0c0423073714318822bf39aec81debd,0
b33d224fd77a491aaca857aa5f8bb835 <-> e3915aede2f9414f8be63be3b295222d,0
77cad0ec38034269928d283916f76567 <-> 39ee305088af4836bb035c8e96f097f3,0
c814ab65f97f4294a16bdc961f1061bb <-> 9e4cbc40cc3942419abd892cc4d10666,0
0f5d44afb06746c4bbc040ec61cab3de <-> b579d879dc5841409c65a7f21b63de50,0
b33d224fd77a491aaca857aa5f8bb835 <-> e019b72b917a420daaee214f7ca2c30c,0
8907eb6429c84060b36b70495e7bd3a5 <-> f6e0ab6d3bc24e0cacdbb2d8d5e0cbdc,0
a34122280fda43f88b50a3569df00ddc <-> 3102477f5dee4cd899a02ef1d654b4da,0
dfb1b12e21f84b018a6da693cd0e3a7b <-> 244e6eb41cc9444b895a72f48d32b37a,0
ccce1cba587c461a8f6468130245c97a <-> ff55a4e99351491ea274aa27094524e6,0
7d9e56b153d94fd9a2df62239f0230fa <-> 186c1e2b094a45ad957de3c67973bb3b,0
fb033c63b6764fd2bb470d153ca886dc <-> 6cdf6e5157a84f53af913790d8aaf285,0
714f412fba1f499da52ba9d651224f9f <-> 8a66258a6568410197ea798cdf16b71b,0
63173b798f954d7a8f1c8d94d392bf7a <-> a6c3994cd22543faa10a327ba7b76678,0
6fb5b1204dc74ffead19c6770dcf3e8b <-> 5d9ff1c377e44135831ec397d9785c9e,0
7d9e56b153d94fd9a2df62239f0230fa <-> b579d879dc5841409c65a7f21b63de50,0
b69da21763064d6f8cdc60a1584a99c8 <-> 34bccf9fbb9d493c9b0516778fade795,0
ccce1cba587c461a8f6468130245c97a <-> 080ba47d822e41358fb3eeb4b0d12f10,0
cdd768d0444e4ce79b92410190848f7c <-> 0167472a4a86460682b7da107f8e5798,0
019e9132a4ca4df0bdd6cd750d7fa630 <-> a1417e55b78e4220b517aac040367944,0
7cdc79ac51af44a5a0ca0d2a4e477188 <-> 6cdf6e5157a84f53af913790d8aaf285,0
4965b29df8814af8ae6c7e27ecdb7c86 <-> 135a1ecd7db5490ea60a74ff1bafb3c9,0
cb3b315d677346f2b5c9f541d6bca2fb <-> 4965b29df8814af8ae6c7e27ecdb7c86,0
63fe60e1221940bab7d3c9d2620f4a9f <-> 164e6513a5cf4ca59006d098d81b3a6e,0
16065b5e9c7c4ac9a4936ee638c8697c <-> 3a33ee0e01f74f5abb9d478990835767,0
e68a9a8c2e1e4ee880db96cf4345e8f4 <-> 072b6dc10aa24750a6f4f4f3d728e1be,0
f493b8dab3f8473794d153f622dc78aa <-> 006ac0d4793b476b8c1ce3f8b72d554c,0
cfb134a0e2cc465c98b5b3807a579107 <-> 0e87e62efd5e47f8b0c366d09cef0231,0
2c2010a302644080a5bd25b9af12bd5c <-> 81497c462c694814aa6201a1484ace05,0
4647a10cd73c493589650b22b5188871 <-> a7c4a0b2567c458b8c2dff2aa8a71019,0
7ad38d344fe943e1ad4e050f7ebe6aba <-> 7c2da5f621e34a3b87cf331e45b8ee81,0
e3915aede2f9414f8be63be3b295222d <-> b579d879dc5841409c65a7f21b63de50,0
e52ff59bc82244a084b212c8685b980d <-> d602b8d392064551b0bf71a00ed79f8c,0
9b411bac84a445988d046399ecb700a9 <-> 7ad38d344fe943e1ad4e050f7ebe6aba,0
b33d224fd77a491aaca857aa5f8bb835 <-> 5d9ff1c377e44135831ec397d9785c9e,0
4647a10cd73c493589650b22b5188871 <-> 11d4b317ca534ddd89c9215bcd4d6f65,0
4b39d0355d5b4ca9b033037478ef82b9 <-> 67d14436fb9140d3bbfc62642cabd46b,0
2b4ef167d68e477586e0f6022ae5b600 <-> 81af7423dc9d430c8a54a53bffabe131,0
2bdc61f483cf49d986ac9956a52bad0b <-> 319ab7134ff94bd6917b2fde40a7a09e,0
19921ad8c3bb4bd685201a1ac9edd024 <-> dbf22b3293a743fe93689ab3413ced25,0
58c1c47111304c57a135acb0288ef544 <-> 33e7b9f928a542908f6d5da07b11b698,0
e3915aede2f9414f8be63be3b295222d <-> 4fc3684956a34bc4a5e5022681c42f99,0
87f41520817a46d2bcbc1068b11a22d0 <-> c7e4072f2eca4051a2fc4889d0c20d7b,0
58c1c47111304c57a135acb0288ef544 <-> f4f856d522e042adb4a88c5bd75d17fe,0
e38ca98d709d48b8a62afb821c22ab14 <-> deced7e0e5de40d2ac88b6eb619f871f,0
973c0dcae701415285685f3abc269bbf <-> 0e87e62efd5e47f8b0c366d09cef0231,0
f8c99cebc6e743229cbf255ccc2166ad <-> c814ab65f97f4294a16bdc961f1061bb,0
714f412fba1f499da52ba9d651224f9f <-> d6a46b8633174f1ea8f00d20a89a2f14,0
4647a10cd73c493589650b22b5188871 <-> 973c0dcae701415285685f3abc269bbf,0
c06665106487404ba393fb7206fe1fc1 <-> 164e6513a5cf4ca59006d098d81b3a6e,0
