service pair,PIP
5b8c9002a87349738e8d3ec30cbcf79c <-> 0dd6fef1d1284f8f90eb482354f6ed97,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> 4ad89a85e6df4c68b5895450f7bd2686,0.0
5b8c9002a87349738e8d3ec30cbcf79c <-> cc0f327c8e504e4a9c5aaff0c0652d71,0.0
c86459218daa44bfa45826ed2fbb42d9 <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
c86459218daa44bfa45826ed2fbb42d9 <-> 62830a3beec94e329815936d245b2fe5,0.0
21b882e8509446a99784383db18b7a2b <-> c86459218daa44bfa45826ed2fbb42d9,0.0
23c23190cd4a4226a647a2f53b6ae45d <-> 423b36c01e15449889aefcb350fc9293,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> fe0b5dfab9db4a25b6deddff43e379a0,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> 0a29a293ae7f43e6a5678bfe2a6274ad,0.0
4d0289dd2d874c19b25af4c021ed65a6 <-> 423b36c01e15449889aefcb350fc9293,0.0
c92b371311024807b0e94bd8ebc14a9f <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
b91ccfa6aecb40e99b36fe9f0b999fd6 <-> 5b8c9002a87349738e8d3ec30cbcf79c,0.0
e0e337cb216f4737aaab72d03b2bcfc2 <-> 23c23190cd4a4226a647a2f53b6ae45d,0.0
c92b371311024807b0e94bd8ebc14a9f <-> c86459218daa44bfa45826ed2fbb42d9,0.0
e0e337cb216f4737aaab72d03b2bcfc2 <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
23c23190cd4a4226a647a2f53b6ae45d <-> fe0b5dfab9db4a25b6deddff43e379a0,0.0
0b5a4c6356954095b88c0dcc15dc5c5f <-> d566f7d556384bbab22b1d0c564f51e0,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> 558ad86b82ac47818878f0a45f0fb642,0.0
5b8c9002a87349738e8d3ec30cbcf79c <-> 1a7d6dc174ad45469048cbd580c67e36,0.0
0b5a4c6356954095b88c0dcc15dc5c5f <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
da489fae8b0e4b97bcc05a002a69b0d7 <-> 5b8c9002a87349738e8d3ec30cbcf79c,0.0
423d8562e18e4da8b8bc44a817e759c2 <-> 5b8c9002a87349738e8d3ec30cbcf79c,0.0
23c23190cd4a4226a647a2f53b6ae45d <-> 7448396e800b48649223d2e4798e03e6,0.0
4ad89a85e6df4c68b5895450f7bd2686 <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
4d0289dd2d874c19b25af4c021ed65a6 <-> 15673e2d9ef5406f9b18eae317e89913,0.0
423d8562e18e4da8b8bc44a817e759c2 <-> c86459218daa44bfa45826ed2fbb42d9,0.0
4d0289dd2d874c19b25af4c021ed65a6 <-> 62830a3beec94e329815936d245b2fe5,0.0
e0e337cb216f4737aaab72d03b2bcfc2 <-> c86459218daa44bfa45826ed2fbb42d9,0.0
4d0289dd2d874c19b25af4c021ed65a6 <-> f67d4ca6504f4335880b3085f6d0b146,0.0
0b5a4c6356954095b88c0dcc15dc5c5f <-> 23c23190cd4a4226a647a2f53b6ae45d,0.0
c86459218daa44bfa45826ed2fbb42d9 <-> 0af303ca12f74cffb704f28d649ecb48,0.0
c86459218daa44bfa45826ed2fbb42d9 <-> 5b8c9002a87349738e8d3ec30cbcf79c,0.0
b91ccfa6aecb40e99b36fe9f0b999fd6 <-> d566f7d556384bbab22b1d0c564f51e0,0.0
46484f943b9840568639b5c11cd9c082 <-> 23c23190cd4a4226a647a2f53b6ae45d,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> 1a7d6dc174ad45469048cbd580c67e36,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> b0ee407dad4248bf90947f496fac7732,0.0
c86459218daa44bfa45826ed2fbb42d9 <-> b0ee407dad4248bf90947f496fac7732,0.0
5b8c9002a87349738e8d3ec30cbcf79c <-> 4ad89a85e6df4c68b5895450f7bd2686,0.0
5b8c9002a87349738e8d3ec30cbcf79c <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
7448396e800b48649223d2e4798e03e6 <-> 5b8c9002a87349738e8d3ec30cbcf79c,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> e0e337cb216f4737aaab72d03b2bcfc2,0.0
4d0289dd2d874c19b25af4c021ed65a6 <-> 0af303ca12f74cffb704f28d649ecb48,0.0
23c23190cd4a4226a647a2f53b6ae45d <-> 83e5b60efe91477fa5f767cdf30c4c01,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> 7448396e800b48649223d2e4798e03e6,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> f2a0d8446e714e19aa12a11e4d527880,0.0
5b8c9002a87349738e8d3ec30cbcf79c <-> b0ee407dad4248bf90947f496fac7732,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> 423b36c01e15449889aefcb350fc9293,0.0
0b5a4c6356954095b88c0dcc15dc5c5f <-> c86459218daa44bfa45826ed2fbb42d9,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> 4921524b856743e7a2c59c048cbca69d,0.0
0a29a293ae7f43e6a5678bfe2a6274ad <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> c86459218daa44bfa45826ed2fbb42d9,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> 15673e2d9ef5406f9b18eae317e89913,0.0
21b882e8509446a99784383db18b7a2b <-> 5b8c9002a87349738e8d3ec30cbcf79c,0.0
fe0b5dfab9db4a25b6deddff43e379a0 <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
7448396e800b48649223d2e4798e03e6 <-> 4d0289dd2d874c19b25af4c021ed65a6,0.0
46484f943b9840568639b5c11cd9c082 <-> c86459218daa44bfa45826ed2fbb42d9,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> 83e5b60efe91477fa5f767cdf30c4c01,0.0
0a29a293ae7f43e6a5678bfe2a6274ad <-> c86459218daa44bfa45826ed2fbb42d9,0.0
46484f943b9840568639b5c11cd9c082 <-> 5b8c9002a87349738e8d3ec30cbcf79c,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> f67d4ca6504f4335880b3085f6d0b146,0.0
d566f7d556384bbab22b1d0c564f51e0 <-> 62830a3beec94e329815936d245b2fe5,0.0
4921524b856743e7a2c59c048cbca69d <-> 5b8c9002a87349738e8d3ec30cbcf79c,0.0
c86459218daa44bfa45826ed2fbb42d9 <-> 1a7d6dc174ad45469048cbd580c67e36,0.0
fe0b5dfab9db4a25b6deddff43e379a0 <-> c86459218daa44bfa45826ed2fbb42d9,0.0
